[Artist Name],[Artist style Trained?],[Midjourney (prompt: artwork by <artist full name>)],[Midjourney (prompt: portrait of a person by <artist full name> --ar 2:3)],[Midjourney (prompt: environment design by <artist full name> --ar 16:9)],[extra example],"Author Specific prompt [first column for prompt, second for image] (author speciality)",
Eugeniusz Zak,NO,,,,,,
Evaline Ness,NO,,,,,,
Eve Ventrue,Yes,,,,,,
Evelyn De Morgan,Yes,,,,,,
Everett Raymond Kinstler,NO,,,,,,
Exekias,Yes,,,,,,
Eyvind Earle,Yes,,,,,,
F Scott Hess,Yes,,,,,,
Fairfield Porter,Yes,,,,,,
Falvie,NO,,,,,,
Famous Painters,NO,,,,,,
Farel Dalrymple,Yes,,,,,,
Felix Octavius Carr Darley,NO,,,,,,
Felix-Kelly,NO,,,,,,
Feng Zhu,NO,,,,,,
Fenghua Zhong,Yes,,,,,,
Fernand Edmond Jean Marie Khnopff,Yes,,,,,,
Fernand Leger,Yes,,,,,,
Fernando Botero,Yes,,,,,,
Filippino Lippi,Yes,,,,,,
Fiona Stephenson,NO,,,,,,
Fitz Henry Lane,NO,,,,,,
Florent Lebrun,NO,,,,,,
Fluff-Kevlar,NO,,,,,,
Ford Madox Brown,Yes,,,,,,
Fra Angelico,Yes,,,,,,
Frances Jetter,NO,,,,,,
Francesca Woodman,Yes,,,,,,
Francesco Furini,NO,,,,,,
Francis Bacon,Yes,,,,,,
Francis Coates Jones,Yes,,,,,,
Francis Picabia,Yes,,,,,,
Francis Souza,NO,,,,,,
Francisco De Goya,Yes,,,,,,
Francisco Goya,Yes,,,,,,
Francisco Zurbaran,Yes,,,,,,
Franciszek Starowieyski,NO,,,,,,
François Schuiten,Yes,,,,,,
Frank Auerbach,Yes,,,,,,
Frank Brunner,Yes,,,,,,
Frank Cho,Yes,,,,,,
Frank Frazetta,Yes,,,,,,
Frank Miller,Yes,,,,,,
Frank Ordaz,NO,,,,,,
Frank Philip Stella,Yes,,,,,,
Frank Schoonover,NO,,,,,,
